[37.45950, -10.46451],
[37.46200, -10.43430],
[37.46480, -10.40350],
[37.46800, -10.37369],
[37.47070, -10.34369],
[37.47050, -10.30820],
[37.47120, -10.27399],
[37.47370, -10.24371],
[37.47650, -10.21371],
[37.47880, -10.18399],
[37.48050, -10.15399],
[37.48250, -10.12479],
[37.48450, -10.09531],
[37.48620, -10.06549],
[37.48780, -10.03601],
[37.48980, -10.00580],
[37.49070, -9.97400],
[37.49070, -9.94321],
[37.49150, -9.91299],
[37.49250, -9.88321],
[37.49400, -9.85379],
[40.73500, -10.11771],
[40.73480, -10.14899],
[40.73550, -10.18030],
[40.73550, -10.21170],
[40.73580, -10.24219],
[40.73650, -10.27179],
[40.73670, -10.30130],
[40.73720, -10.33069],
[40.73800, -10.36050],
[40.73820, -10.39001],
[40.74580, -10.41669],
[40.73700, -10.69501],
[40.73550, -10.72800],
[40.73370, -10.76099],
[40.73170, -10.79401],
[40.72970, -10.82721],
[40.72750, -10.86020],
[40.72570, -10.89319],
[40.72370, -10.92621],
[40.72230, -10.95950],
[40.71980, -10.99249],
[40.71730, -11.02551],
[40.71800, -11.05850],
[41.50100, -11.13901],
[41.50600, -11.10431],
[41.50670, -11.06870],
[41.50800, -11.03549],
[41.50870, -11.00229],
[41.50920, -10.96899],
[41.51120, -10.93649],
[41.51120, -10.90619],
[41.51180, -10.87601],
[41.51370, -10.84650],
[41.51450, -10.81619],
[41.51520, -10.78571],
[41.51580, -10.75519],
[41.51650, -10.72470],
[41.51700, -10.69400],
[41.51730, -10.66321],
[41.51770, -10.63269],
[41.51850, -10.60220],
[41.51900, -10.57199],
[41.51900, -10.54150],
[41.51920, -10.51169],
[41.51870, -10.48279],
[41.51770, -10.45380],
[41.51670, -10.42621],
[41.51580, -10.40051],
[41.51520, -10.37479],
[41.51470, -10.34351],
[41.51350, -10.31201],
[41.51170, -10.28101],
[41.51020, -10.24951],
[41.50830, -10.22049],
[41.50630, -10.19220],
[41.50420, -10.16400],
[41.50280, -10.13599],
[41.50180, -10.10779],
[41.50050, -10.07599],
[41.49950, -10.04681],
[41.49830, -10.02271],
[41.49750, -9.99100],
[41.49700, -9.95679],
[41.49580, -9.92270],
[41.49470, -9.88849],
[41.49400, -9.85471],
[41.49380, -9.82419],
[41.49350, -9.79330],
[41.49270, -9.76270],
[41.49230, -9.73221],
[41.49200, -9.70200],
